video_id,title,thumbnail_path,label
lepHJI4ze-w,I Bought 250 BANNED Amazon Products!,thumbnails/lepHJI4ze-w.jpg,1
ezwXAlJ5pAY,TikTok Wigofellas PRANKS on MOM - Wigofellas PRANKS on Girlfriend - Wigofellas TikTok PRANKS DAY 156,thumbnails/ezwXAlJ5pAY.jpg,1
i6_OomloWUg,TikTok Wigofellas PRANKS on MOM - Wigofellas PRANKS on Girlfriend - Wigofellas TikTok PRANKS DAY 185,thumbnails/i6_OomloWUg.jpg,1
VvuuR7HifUY,Superheroes in Real Life Caught On Camera !,thumbnails/VvuuR7HifUY.jpg,1
uwIjrEbywnk,20 People You Won't Believe Existed Till You See Them,thumbnails/uwIjrEbywnk.jpg,1
RLkdkdQI-ZU,Best 22 SCIENCE EXPERIMENTS Compilation from VisioNil,thumbnails/RLkdkdQI-ZU.jpg,1
7g9xcCMdwns,Spider-Man Rated-R,thumbnails/7g9xcCMdwns.jpg,1
rSXyLqvlUA0,"If You Build It, I'll Buy It!",thumbnails/rSXyLqvlUA0.jpg,1
yjex6KjvJ4M,Funniest Moments in Women's Football,thumbnails/yjex6KjvJ4M.jpg,1
rgBVLnBSgHs,Full stop punctuation,thumbnails/rgBVLnBSgHs.jpg,1
XGPex66EyTU,BREAKING 100 RULES IN 24 HOURS!!,thumbnails/XGPex66EyTU.jpg,1
Ls5yMv96vXo,I Was MURDERED…,thumbnails/Ls5yMv96vXo.jpg,1
6E7nxP3iD4c,I Became the World's Worst Babysitter! (w/ Salish Matter),thumbnails/6E7nxP3iD4c.jpg,1
IGS04NYSG0c,हॉट बनाम कोल्ड फूड चैलेंज | पागल चुनौती BaRaDa Challenge,thumbnails/IGS04NYSG0c.jpg,1
fAbrKxrq9pw,सबसे बड़ा Kinder Joy | World's Biggest Kinder Joy | Hindi Comedy | Pakau TV Channel,thumbnails/fAbrKxrq9pw.jpg,1
dqYOg04QwfI,Umesh's Unexpected Accident *What Went Wrong?*,thumbnails/dqYOg04QwfI.jpg,1
SToocHIhCN4,I EXPOSED The World’s Most EVIL Teacher!,thumbnails/SToocHIhCN4.jpg,1
t5mjLoStmFU,Me VS World's Most EVIL Kids!!,thumbnails/t5mjLoStmFU.jpg,1
kKj0yzRyOpg,Exposing The World's Most EVIL Kids,thumbnails/kKj0yzRyOpg.jpg,1
aVkG59wJKec,Must Watch Very Special New Funny Video 2023 😎 Funny Video Wala Comedy Video Epi 147 By Bidik Fun Tv,thumbnails/aVkG59wJKec.jpg,1
mHddP1CDTQ0,"Very Special Must Watch New Funny Comedy Video 2024,Amazing Comedy Video 2024 Ep-255 By#myfamily",thumbnails/mHddP1CDTQ0.jpg,1
iV1kP5ERQvE,Try Not To Laugh | Women's Football,thumbnails/iV1kP5ERQvE.jpg,1
h2pe4zpWXT4,Bad Parking Revenges Caught On Camera !,thumbnails/h2pe4zpWXT4.jpg,1
Y4id5tlTYsY,Try Not To Laugh At These Funny Moments in Sports...,thumbnails/Y4id5tlTYsY.jpg,1
Lra2N5CsyDA,When Animals Messed With The Wrong Opponent !,thumbnails/Lra2N5CsyDA.jpg,1
7Tuhg0tyzT4,30 Times Animals Messed With The Wrong Opponent !,thumbnails/7Tuhg0tyzT4.jpg,1
-V1Z5tJzktY,When Animals Go On A Rampage And Got Caught On Camera!,thumbnails/-V1Z5tJzktY.jpg,1
eVvjsXjeiB4,World’s Dumbest Criminals…,thumbnails/eVvjsXjeiB4.jpg,1
4KjapCzpWQg,0 IQ Moments...,thumbnails/4KjapCzpWQg.jpg,1
Q19ddpjmbwY,Impossible 0.0000001% Moments...,thumbnails/Q19ddpjmbwY.jpg,1
81v7fgp3Two,People With Superpowers Caught On Camera…,thumbnails/81v7fgp3Two.jpg,1
rah4QI41Lgg,People With Superpowers Caught On Camera,thumbnails/rah4QI41Lgg.jpg,1
efXOrthfd2U,Satisfying Videos Of Workers Doing Their Job Perfectly | Best Moments,thumbnails/efXOrthfd2U.jpg,1
kNZpnFo20Sk,0% Respect Moments in Football,thumbnails/kNZpnFo20Sk.jpg,1
MVjD3CVlRDs,"Funny Videos Of The Year, Try Not To Laugh, Best Memes Compilation",thumbnails/MVjD3CVlRDs.jpg,1
SH8SDdxstco,This will 99% make you laugh,thumbnails/SH8SDdxstco.jpg,1
HXDLxqSh52M,People Who Are At Another Level | Amazing Skills And Talent !,thumbnails/HXDLxqSh52M.jpg,1
uKpEcfPjy1I,🙀 Funniest Dogs and Cats 😍🤣 Funny Animal Videos 😅,thumbnails/uKpEcfPjy1I.jpg,1
-zAUGYmJaEI,𝐘𝐨𝐮 𝐋𝐚𝐮𝐠𝐡 𝐘𝐨𝐮 𝐋𝐨𝐬𝐞 🐱🐷😻 𝐅𝐮𝐧𝐧𝐢𝐞𝐬𝐭 𝐃𝐨𝐠𝐬 𝐚𝐧𝐝 𝐂𝐚𝐭𝐬 𝟐𝟎𝟐𝟒 😸,thumbnails/-zAUGYmJaEI.jpg,1
swadfg2DtYo,When Fans Go Too Far...,thumbnails/swadfg2DtYo.jpg,1
